MESURE - Dollars des États-Unis aux prix courants et taux de change courants en millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNÉE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
          Somalie,341.0255497,347.0393484,447.8839413,483.6996107,572.504036,757.0158789,871.3442453,444.7663323,503.6000743,517.9884244,574.8302149,667.8650711,728.9253876,669.9916951,716.4191568,809.8025047,808.4104802,912.6677799,939.3929509,974.200516,994.0733681,613.95,583.2545455,996.4418411,1126.306823,1122.242795,1260.225209,1482.006572,1926.004373,1904.432755,2052.048477,1302.61124,1219.172165,1516.743116,1984.459845,2315.547906,2390.00822,2482.993197,2600.027766,2011.708219,1071.191223,1067.304075,1305.874432,1398.779509,-
          Soudan du Sud,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,10368.81356,11804.40678,9599.216865
          Soudan,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,51805.53455,54594.60192,59216.49933
          Soudan (...2011),1233.693283,1338.753594,1659.118328,2134.48019,2600.396331,3242.13384,4043.202194,4750.817657,5111.632359,5646.498654,6365.486013,7672.758465,5807.458789,5234.454615,7061.693846,6623.77318,8978.2348,11623.56567,11542.30311,11335.15898,12637.30204,11328.02155,12115.58523,12528.64987,11884.3043,12847.18734,8377.204018,10241.12141,10924.15361,10714.22261,13092.08968,15716.36123,18137.1257,21355.29546,26646.00692,35182.65504,45263.77675,59440.60314,63962.43305,60562.40767,69664.54289,73159.66862,_,_,_
          Timor-Leste,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,505.659429,1089.480191,1812.977173,2823.66464,2964.64738,4438.438871,3298.421819,4215.47591,5727.453084,5579.01369,4941.133528,4810.883609
          Togo,264.7256496,298.3332986,347.4023895,405.5288766,542.71486,598.6667149,570.4528899,687.0734913,851.2254005,1016.497408,1130.596851,949.4668268,820.7390997,738.1922644,697.5520088,740.1010713,1049.938786,1247.570106,1512.261457,1483.804357,1786.825483,1765.449168,1851.35155,1411.087781,1093.698146,1444.435412,1578.776431,1609.609254,1523.365392,1526.14802,1294.136166,1332.203599,1472.404157,1673.506868,1936.854832,2110.217107,2218.65322,2530.583163,3167.735563,3163.051565,3172.644757,3688.306859,3896.881209,4158.187784,4401.284913
          Tuvalu,2.585174334,2.747866459,3.028236128,3.783673016,4.013522301,3.847741362,3.797642001,3.54625787,3.853304368,3.998562929,4.296581101,4.721823885,3.785516481,3.995441506,4.341304778,3.515620909,4.370396326,5.31025501,7.525538938,8.207359922,9.539000357,10.14523141,10.70907931,9.57866391,11.42825113,11.76250387,12.49319828,13.39755674,12.9813621,13.78225104,12.2628554,12.83880953,14.63922035,18.33392391,21.62056036,21.89713931,22.90256648,27.03099603,30.29077026,27.10131279,31.82470128,39.31350869,39.87570812,38.33821371,37.30035621
          Ouganda,1569.398094,1736.355441,1886.61687,2208.017262,2673.955059,3107.599502,3278.185328,3528.56914,3625.270893,3433.993914,3648.524922,4066.119646,4654.434987,5144.013256,5079.990488,5226.600985,5953.3968,6660.214693,7615.252899,6725.944636,4757.741949,3856.854122,4142.119743,4281.034288,6732.221075,7876.589073,7981.97075,8596.075244,8256.704053,7838.848284,7469.261306,7764.59874,8167.88265,8632.621875,10330.20827,12294.7398,13483.79656,16591.34888,20055.28941,20165.59492,21619.63569,23553.69603,25515.42845,26443.72641,28428.96489
          République-Unie de Tanzanie,2435.211633,2605.381771,2965.881613,3539.21827,4250.795781,4893.549981,5299.795592,6331.574727,7583.60701,8028.193239,9342.057484,10776.87793,11403.96313,11504.26732,10568.16009,11654.0053,8232.750643,5768.785145,6723.051937,7180.487765,6999.346746,7910.960803,7060.698899,6452.262594,6653.906934,7760.177015,9603.227529,11353.23224,12361.4204,12670.77461,13313.28311,13585.6192,14138.74358,15243.46811,16784.32535,18508.1836,18821.94646,22091.57955,27988.63183,29255.81092,30754.7397,33310.57791,38977.82145,45858.89006,50140.27452
          Vanuatu,38.50283911,41.59900645,55.27595234,67.43096739,67.24103639,81.34561373,78.56933952,82.30738244,100.4457937,132.1840588,125.7178457,109.4552631,108.7790112,116.0379509,141.2542308,134.286756,130.4290282,138.6170758,163.2435658,160.0698143,173.7076536,206.8861235,215.8061427,222.1813245,243.5955921,276.1687014,287.0226144,288.9873691,263.2044847,268.9378927,272.9594677,258.8227886,262.6147523,314.4550458,364.9968691,394.9624318,439.3766617,526.4283099,607.9588161,610.0664382,700.8040452,792.1499958,780.2239914,800.01236,812.2695943
