MESURE - Dollars des Ätats-Unis aux prix constants (2005) et taux de change constants (2005) en millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNÄE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
          Mozambique,1759.542972,1891.227263,1983.53389,2075.01653,2204.904573,2250.838121,2377.286178,2373.008438,2398.488477,2472.238458,2576.762964,2609.798386,2510.692119,2180.337892,2246.408738,2048.196202,2081.231625,2180.337892,2279.44416,2427.608136,2451.884043,2572.026337,2437.475137,2651.172038,2814.454077,2877.422144,3649.875378,4045.596024,4525.379193,4879.398434,4961.29928,5592.424468,6084.225494,6479.737065,6985.881386,7595.096898,8343.294106,8962.872217,9480.562181,10094.6502,10813.06232,11617.10625,12439.36522,13365.3723,14367.77522
          Myanmar,1923.229722,1985.4339,1994.236684,2023.828332,2077.457103,2162.366616,2281.577755,2401.243649,2550.59864,2670.849221,2881.986115,3063.563843,3229.679855,3370.264543,3536.510485,3637.336472,3598.877075,3454.719301,3062.5244,3175.693775,3265.150853,3243.907233,3557.299348,3772.139258,4054.218148,4335.907247,4615.257598,4876.092868,5162.134635,5727.136963,6514.385232,7253.382985,8125.639908,9250.553095,10505.35946,11930.82861,13490.91601,15108.67098,16658.11102,18415.54297,20286.12138,21384.7261,23016.4205,24742.65204,26325.79307
          N_pal,2189.963742,2163.823135,2231.238385,2220.575769,2361.253509,2395.649044,2501.039676,2576.504572,2689.991055,2753.745881,2689.846486,2914.217213,3024.378614,2934.312272,3218.389899,3416.159973,3572.129928,3632.69936,3912.37468,4081.690441,4270.878256,4542.780744,4729.402057,4911.330339,5315.00434,5499.352466,5792.891134,6097.620351,6277.045517,6558.490361,6959.568709,7351.288145,7360.095991,7650.471864,8008.713108,8258.829299,8566.188165,8858.428838,9399.203952,9825.277266,10298.50336,10650.90046,11167.73288,11575.14155,12208.9963
          Niger,2141.325718,2262.938472,2146.028908,1780.182836,1936.398118,1882.310773,1895.076669,2042.221434,2317.362011,2482.983782,2427.552543,2442.33428,2481.975862,2364.058597,1966.297346,2118.145521,2079.137579,2050.488517,2175.510321,2159.753791,2143.224437,2150.998143,2155.471434,2175.522444,2233.690375,2307.05719,2424.468982,2436.497742,2746.22509,2773.51745,2701.862593,2904.985192,3058.281099,3162.245281,3136.266708,3369.007255,3563.610555,3675.740201,4028.160207,3999.45267,4334.176455,4432.921336,4923.963927,5126.086589,5413.147438
          Rwanda,862.7817664,873.1953147,875.5094366,905.5930208,912.9210733,893.6235157,1067.921004,1123.155321,1233.451349,1349.098201,1469.864241,1549.768994,1577.83293,1672.152576,1601.220353,1671.767598,1747.12707,1749.533183,1762.237462,1750.784362,1708.777949,1646.368264,1755.793766,1604.312114,821.2093897,1096.500229,1259.664146,1440.261845,1572.813993,1674.588182,1779.392917,1898.089281,2148.487015,2195.805367,2359.340572,2580.597467,2818.711545,3029.07862,3347.219959,3508.881357,3730.647633,3985.575221,4335.841582,4541.027202,4814.018136
          Sao Tom_-et-Principe,57.98168604,61.09839305,62.49817724,63.49333632,67.10215495,70.71097359,71.87016988,88.70038768,91.27030398,106.1867543,105.0384939,94.20492629,97.11848082,93.35613856,87.72633396,95.88478306,90.29266852,87.64699085,89.39881748,92.20175261,90.21697552,91.30048384,91.93958722,92.95092268,94.99584298,96.89575984,98.34919624,99.32907402,101.812285,104.3575981,104.8255045,108.0378661,110.2019382,117.4974265,122.8041629,124.7802874,140.1899538,144.0377351,157.1381118,163.3346912,170.7837584,178.4422712,185.579962,193.5042264,201.8249082
          S_n_gal,3188.498019,3184.57033,3388.024626,3198.710011,3333.036978,3584.409081,3904.122975,3798.860906,3561.628484,3904.908512,3776.364617,3731.563796,4304.325066,4397.717547,4221.615857,4381.175705,4581.056293,4763.705795,5004.596366,4934.293538,5126.93707,5106.604389,5219.640308,5103.847416,5250.311639,5498.439265,5785.509144,5966.250375,6318.179949,6720.006276,6934.148619,7251.796173,7299.281199,7786.204581,8244.272237,8707.815254,8922.164244,9362.783994,9707.5708,9942.802317,10358.34812,10529.91604,10883.72735,11145.21868,11635.6083
          Sierra Leone,1252.385936,1257.769906,1269.233955,1313.452428,1359.308623,1359.308623,1349.482295,1360.946344,1413.353423,1485.413158,1527.99391,1588.589595,1616.430856,1614.793135,1685.215148,1724.467065,1749.641766,1820.240386,1865.117028,1928.418633,1998.652403,1838.910103,1661.523421,1662.425642,1720.610442,1548.119259,1164.392129,959.5072334,951.4719813,874.1955768,907.4786772,1072.366985,1355.636497,1481.820084,1579.542244,1650.681289,1720.349178,1858.929105,1959.021559,2021.630989,2129.727604,2256.680243,2599.734411,3122.842109,3254.001478
          ‘les Salomon,113.8964049,119.7372461,122.6576667,133.83145,161.0040593,147.0368303,167.0988503,186.6529711,204.6833941,249.1245777,233.3797013,248.9966512,246.2480681,228.6321485,244.9987121,251.8701701,249.9961361,255.8681093,269.6110253,288.1014941,307.4665123,315.3095116,351.1391979,357.0850422,385.9372416,424.5001153,431.3291243,423.8821424,437.4190304,430.633486,369.4260608,339.9982112,330.6284397,352.0685176,380.5752971,429.4760336,446.6528369,520.6473724,539.9363071,541.1951933,598.7822448,637.1502998,653.9634249,673.5185271,673.5185271
          Somalie,1670.00436,1705.715145,1959.541804,1721.469903,1734.423815,1989.300791,1952.539689,2218.970154,2347.657522,2230.581044,2270.574111,2412.807518,2479.570137,2192.523126,2264.123616,2479.892662,2426.676081,2671.472352,2656.691899,2652.018464,2609.590851,2583.491941,2273.471708,2273.471708,1796.052254,1796.052254,1866.094585,1815.667709,1860.991865,1920.543605,1978.159913,2037.504711,2108.817375,2182.625984,2248.104763,2315.547906,2371.121056,2432.770203,2496.022228,2560.918806,2627.502695,2695.817765,2765.909027,2837.822662,2911.606051
